song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Down Under,Men At Work,46RVKt5Edm1zl0rXhPJZxz,69,0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231,audio_features,46RVKt5Edm1zl0rXhPJZxz,spotify:track:46RVKt5Edm1zl0rXhPJZxz,https://api.spotify.com/v1/tracks/46RVKt5Edm1zl0rXhPJZxz,https://api.spotify.com/v1/audio-analysis/46RVKt5Edm1zl0rXhPJZxz,220867,4
Wonderwall - Remastered,Oasis,5qqabIl2vWzo9ApSC317sa,80,0.376,0.896,2,-4.065,1,0.0395,0.000452,0.0,0.194,0.472,174.379,audio_features,5qqabIl2vWzo9ApSC317sa,spotify:track:5qqabIl2vWzo9ApSC317sa,https://api.spotify.com/v1/tracks/5qqabIl2vWzo9ApSC317sa,https://api.spotify.com/v1/audio-analysis/5qqabIl2vWzo9ApSC317sa,258773,4
What's Going On,Marvin Gaye,7av4raprzW2bWdjyAaH3hz,0,0.245,0.833,1,-5.555,0,0.116,0.105,0.0,0.359,0.805,205.375,audio_features,7av4raprzW2bWdjyAaH3hz,spotify:track:7av4raprzW2bWdjyAaH3hz,https://api.spotify.com/v1/tracks/7av4raprzW2bWdjyAaH3hz,https://api.spotify.com/v1/audio-analysis/7av4raprzW2bWdjyAaH3hz,231271,4
Khe Sanh,Cold Chisel,04MGO8KdFKUcqQY3qVX0U4,0,0.464,0.913,7,-4.215,1,0.18,0.141,0.0,0.173,0.667,164.092,audio_features,04MGO8KdFKUcqQY3qVX0U4,spotify:track:04MGO8KdFKUcqQY3qVX0U4,https://api.spotify.com/v1/tracks/04MGO8KdFKUcqQY3qVX0U4,https://api.spotify.com/v1/audio-analysis/04MGO8KdFKUcqQY3qVX0U4,250670,4
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,32NqW4lERGa0uTQLXeXh65,0,0.706,0.563,10,-15.564,0,0.0342,0.0704,0.00151,0.152,0.955,103.613,audio_features,32NqW4lERGa0uTQLXeXh65,spotify:track:32NqW4lERGa0uTQLXeXh65,https://api.spotify.com/v1/tracks/32NqW4lERGa0uTQLXeXh65,https://api.spotify.com/v1/audio-analysis/32NqW4lERGa0uTQLXeXh65,281667,4
Single Ladies (Put a Ring on It),Beyoncé,5R9a4t5t5O0IsznsrKPVro,68,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,audio_features,5R9a4t5t5O0IsznsrKPVro,spotify:track:5R9a4t5t5O0IsznsrKPVro,https://api.spotify.com/v1/tracks/5R9a4t5t5O0IsznsrKPVro,https://api.spotify.com/v1/audio-analysis/5R9a4t5t5O0IsznsrKPVro,193213,4
Wannabe,Spice Girls,0n6FMFq5bE22tNTmd6L9U4,43,0.764,0.842,11,-6.923,1,0.0326,0.0987,0.0,0.117,0.863,110.029,audio_features,0n6FMFq5bE22tNTmd6L9U4,spotify:track:0n6FMFq5bE22tNTmd6L9U4,https://api.spotify.com/v1/tracks/0n6FMFq5bE22tNTmd6L9U4,https://api.spotify.com/v1/audio-analysis/0n6FMFq5bE22tNTmd6L9U4,172720,4
Superstition,Stevie Wonder,1kryOQS9FQDsbYY4db5zS5,0,0.609,0.657,1,-11.496,1,0.0695,0.0308,0.00221,0.071,0.872,100.607,audio_features,1kryOQS9FQDsbYY4db5zS5,spotify:track:1kryOQS9FQDsbYY4db5zS5,https://api.spotify.com/v1/tracks/1kryOQS9FQDsbYY4db5zS5,https://api.spotify.com/v1/audio-analysis/1kryOQS9FQDsbYY4db5zS5,266160,4
Can't Get You out of My Head,Kylie Minogue,7m2g1kKuF7Tre2PzjK3Lnh,59,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,audio_features,7m2g1kKuF7Tre2PzjK3Lnh,spotify:track:7m2g1kKuF7Tre2PzjK3Lnh,https://api.spotify.com/v1/tracks/7m2g1kKuF7Tre2PzjK3Lnh,https://api.spotify.com/v1/audio-analysis/7m2g1kKuF7Tre2PzjK3Lnh,230640,4
Under the Bridge,Red Hot Chili Peppers,3d9DChrdc6BOeFsbrZ3Is0,82,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,audio_features,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307,4
You Took The Words Right Out of My Mouth (Hot Summer Night),Meat Loaf,7wawEkN4nhPqSBWleGvdxa,57,0.459,0.681,2,-8.773,1,0.0794,0.254,0.0,0.498,0.68,125.02,audio_features,7wawEkN4nhPqSBWleGvdxa,spotify:track:7wawEkN4nhPqSBWleGvdxa,https://api.spotify.com/v1/tracks/7wawEkN4nhPqSBWleGvdxa,https://api.spotify.com/v1/audio-analysis/7wawEkN4nhPqSBWleGvdxa,304440,4
Karma Chameleon,Culture Club,3XDeeP9wBZzGhIPZmLfEEx,60,0.661,0.552,10,-12.385,1,0.0337,0.214,0.0,0.206,0.928,92.056,audio_features,3XDeeP9wBZzGhIPZmLfEEx,spotify:track:3XDeeP9wBZzGhIPZmLfEEx,https://api.spotify.com/v1/tracks/3XDeeP9wBZzGhIPZmLfEEx,https://api.spotify.com/v1/audio-analysis/3XDeeP9wBZzGhIPZmLfEEx,252760,4
Angels,Robbie Williams,7CKbqqrs0AS1si1ZgaQdcj,62,0.431,0.59,4,-6.362,1,0.0284,0.163,1.11e-05,0.0981,0.257,150.193,audio_features,7CKbqqrs0AS1si1ZgaQdcj,spotify:track:7CKbqqrs0AS1si1ZgaQdcj,https://api.spotify.com/v1/tracks/7CKbqqrs0AS1si1ZgaQdcj,https://api.spotify.com/v1/audio-analysis/7CKbqqrs0AS1si1ZgaQdcj,265333,4
Rhiannon,Fleetwood Mac,05oETzWbd4SI33qK2gbJfR,74,0.723,0.49,9,-14.745,0,0.0296,0.111,0.0946,0.0923,0.795,129.012,audio_features,05oETzWbd4SI33qK2gbJfR,spotify:track:05oETzWbd4SI33qK2gbJfR,https://api.spotify.com/v1/tracks/05oETzWbd4SI33qK2gbJfR,https://api.spotify.com/v1/audio-analysis/05oETzWbd4SI33qK2gbJfR,252773,4
Enter Sandman,Metallica,1bdXMstfxFWYSkEFTnJMoN,0,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,audio_features,1bdXMstfxFWYSkEFTnJMoN,spotify:track:1bdXMstfxFWYSkEFTnJMoN,https://api.spotify.com/v1/tracks/1bdXMstfxFWYSkEFTnJMoN,https://api.spotify.com/v1/audio-analysis/1bdXMstfxFWYSkEFTnJMoN,331267,4
Don't Be Cruel,Elvis Presley,01u6AEzGbGbQyYVdxajxqk,55,0.697,0.55,2,-11.496,1,0.179,0.856,3.44e-05,0.0907,0.844,84.802,audio_features,01u6AEzGbGbQyYVdxajxqk,spotify:track:01u6AEzGbGbQyYVdxajxqk,https://api.spotify.com/v1/tracks/01u6AEzGbGbQyYVdxajxqk,https://api.spotify.com/v1/audio-analysis/01u6AEzGbGbQyYVdxajxqk,122893,4
Need You Tonight,INXS,1sR4aKaHpLrc9u7g4ii90U,50,0.795,0.63,10,-7.217,0,0.084,0.0419,0.573,0.0894,0.785,108.701,audio_features,1sR4aKaHpLrc9u7g4ii90U,spotify:track:1sR4aKaHpLrc9u7g4ii90U,https://api.spotify.com/v1/tracks/1sR4aKaHpLrc9u7g4ii90U,https://api.spotify.com/v1/audio-analysis/1sR4aKaHpLrc9u7g4ii90U,181107,4
Space Oddity - 2015 Remaster,David Bowie,72Z17vmmeQKAg8bptWvpVG,71,0.31,0.403,0,-13.664,1,0.0326,0.0726,9.27e-05,0.139,0.466,134.48,audio_features,72Z17vmmeQKAg8bptWvpVG,spotify:track:72Z17vmmeQKAg8bptWvpVG,https://api.spotify.com/v1/tracks/72Z17vmmeQKAg8bptWvpVG,https://api.spotify.com/v1/audio-analysis/72Z17vmmeQKAg8bptWvpVG,318027,4
Last Goodbye,Jeff Buckley,4xqw8JSmfNdHLCuT23pHiv,0,0.492,0.845,2,-5.686,1,0.0442,0.0297,0.00121,0.209,0.495,86.988,audio_features,4xqw8JSmfNdHLCuT23pHiv,spotify:track:4xqw8JSmfNdHLCuT23pHiv,https://api.spotify.com/v1/tracks/4xqw8JSmfNdHLCuT23pHiv,https://api.spotify.com/v1/audio-analysis/4xqw8JSmfNdHLCuT23pHiv,275493,4
Girls Just Want to Have Fun,Cyndi Lauper,2zjt2hHBbiv5SuxYg8Z7eP,65,0.707,0.788,6,-5.269,1,0.0333,0.214,0.000571,0.308,0.746,120.465,audio_features,2zjt2hHBbiv5SuxYg8Z7eP,spotify:track:2zjt2hHBbiv5SuxYg8Z7eP,https://api.spotify.com/v1/tracks/2zjt2hHBbiv5SuxYg8Z7eP,https://api.spotify.com/v1/audio-analysis/2zjt2hHBbiv5SuxYg8Z7eP,238120,4
